   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 10.18.10.3958
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 10.18.10.3958
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.801.3.1000
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3960
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterDriverVersion: 10.18.10.3277
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3345
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 9.17.10.3062
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3223
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2342
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2867
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.2932
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2253
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2559
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2555
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2141
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6798, AdapterDriverVersion: 14.501.1003.0
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterDriverVersion: 8.882.2.3000
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2141
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2555
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterDriverVersion: 8.15.10.1867
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 8.15.10.2712
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 8.15.10.2696
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.4101
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3372
