   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2993
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 29651019, AdapterDriverVersion: 8.15.10.2555
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 29651019, AdapterDriverVersion: 8.15.10.2119
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc2105b, AdapterDriverVersion: 8.15.10.1851
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dbe105b, AdapterDriverVersion: 8.15.10.2202
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 043e1028, AdapterDriverVersion: 8.15.10.2869
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.2555
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.1872
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00041b0a, AdapterDriverVersion: 8.15.10.2869
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00041b0a, AdapterDriverVersion: 8.15.10.1872
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1892
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1808
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 02aa1028, AdapterDriverVersion: 8.15.10.1808
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 01fe1028, AdapterDriverVersion: 8.15.10.1749
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterSubsysID: 78171462, AdapterDriverVersion: 10.18.10.3277
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 16521043, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 06491025, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 397717aa, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 397517aa, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 3672103c, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 06491025, AdapterDriverVersion: 8.15.10.2712
