  39 Cisco VPN
  19 DriverVersionMismatch
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 1949103c, AdapterDriverVersion: 9.17.10.3114
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 183f103c, AdapterDriverVersion: 9.17.10.2828
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 08351025, AdapterDriverVersion: 10.18.10.3304
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 05911028, AdapterDriverVersion: 9.17.10.2843
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2963
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2817
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterSubsysID: 05971028, AdapterDriverVersion: 9.17.10.2867
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterSubsysID: 16521043, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterSubsysID: 04931028, AdapterDriverVersion: 8.15.10.2418
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 397517aa, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 3581103c, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 07181025, AdapterDriverVersion: 8.15.10.2712
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 04ca1028, AdapterDriverVersion: 9.17.10.3517
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3372
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3223
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 397717aa, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 3672103c, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 06491025, AdapterDriverVersion: 9.17.10.2867
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3040
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2752
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 77881462, AdapterDriverVersion: 9.17.10.3517
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 2ae2103c, AdapterDriverVersion: 9.17.10.3347
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 20428086, AdapterDriverVersion: 8.15.10.2669
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 17a1103c, AdapterDriverVersion: 8.15.10.2696
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 04f51028, AdapterDriverVersion: 8.15.10.2418
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2372
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 51251558, AdapterDriverVersion: 8.15.10.2900
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 215a17aa, AdapterDriverVersion: 8.15.10.2622
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 06031025, AdapterDriverVersion: 8.15.10.2342
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 06011025, AdapterDriverVersion: 8.15.10.2622
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04871025, AdapterDriverVersion: 8.15.10.2900
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04871025, AdapterDriverVersion: 8.15.10.2182
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04471028, AdapterDriverVersion: 8.15.10.2900
