   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1198
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1086
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1081
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc2
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0cbc
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a68
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e9
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e1
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0614
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x042b
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0422
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0407
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0193
   2 AdapterVendorID: 0x1039, AdapterDeviceID: 0x6351
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9998
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9990
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990c
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990b
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9851
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9836
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9804
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9645
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9643
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9611
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x95c5
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x95c4
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9555
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9553
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9501
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x94c3
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6837
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x67b1
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x679a
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6758
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6739
   1 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e42
   1 AdapterVendorID: 0x8086, AdapterDeviceID: 0x161e
   1 AdapterVendorID: 0x1414, AdapterDeviceID: 0xfefe
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13d7
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1382
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1381
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1286
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1243
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11fa
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11a0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x118e
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1185
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10d8
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1088
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ffe
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fd4
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fd1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fcd
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0f01
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dfc
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df8
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df6
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dec
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dea
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0de2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dd1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a78
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a70
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a69
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a66
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a3c
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a35
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a34
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a2d
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a2c
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a2b
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a22
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0869
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0847
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06fd
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06fa
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06ec
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e8
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06cd
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06c4
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x062a
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0618
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0611
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0600
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05ff
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05e3
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05e0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x042f
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0428
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0425
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x040a
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0409
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0403
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x03d0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x019d
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0191
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9997
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9991
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990e
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990d
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990a
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9908
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9901
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9900
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9839
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9832
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x980a
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9803
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9715
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9714
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9713
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x964a
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9644
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9642
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9641
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9598
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9589
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9588
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9552
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x944c
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9442
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68be
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68ba
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6898
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6820
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6811
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x67b0
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x679e
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x679b
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x677b
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x675f
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x675d
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6719
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6658
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6613
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6610
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x130f
